Jason's answer,Jesse's answer,Allen's answer,Zhekai's answer
"From Dr. Smith's perspective, it's important to report nice results to someone above in order to gain fame and reputation, on the basis of you being a not that experienced senior student, there may still be a way to replicate the results of the previous study. From your perspective, you think Dr. Smith is cheating and reporting the fake stuff, but he also balanced his situation for the final decision.","To glorify a person during any application or instance where you have to market yourself in almost common practice today. We must, however, draw a hard line between glorification and fabrication, the former being relatively expected while the latter is within the realms of unethical. In the scenario, omitting the truth could be considered lying and a misrepresentation of the current experiment; however, it is hard to know without any further context. Consequently, the information about the failed trials should not be omitted. If, for example, there is evidence that the samples actually were contaminated and that this wasn¡¯t wishful thinking, the failures should not only be mentioned but an idea of how to resolve them should be stated as well.","From a factual perspective, it is indeed unethical for Dr. Smith to conceal the fact that he failed to repeat the experiment, because the sponsor has the right to know the full true results of his experiment. But from a certain perspective, what Dr. Smith said is not completely unreasonable, because after all, this experiment once obtained those interesting data, and the current inability to reproduce may be due to negligence in a certain step during the experiment. However, as long as Dr. Smith and the person describing the problem still try to reproduce the experimental data later, Dr. Smith's remarks cannot be said to be completely deceptive.","It's not good, but it's not cheating, because everything mentioned is true."
"If there's no third assay, this may still requires extra work to do with the Y thing, if you really desired it to be valid so that you can make significant impact to the related researches. But if you choose to neglect the second assay, your work will not withstand the test of time and will be corrected by others, and it will also affect your own future studies because you are working based on a unproven hypothesis. So you shouldn't publish the research neglecting the second assay if there's no third assay.","The original poster is correct in that when the question remains up in the air, more information is needed. However, they ask an interesting question on what if more information is unobtainable through a third assay. For starters, both assays should be mentioned in the paper even if you heavily believe in favor of the first one; selectively picking which data to go with in the publishcation is strongly unethical. As such, I suggest drilling down and theorizing the reasoning behind the different results. If there is sufficient evidence that the 2nd assay failed for a particular reason, in the paper, you should mention that and strongly highlight the idea. In other words, you should wait until you have more information to make an informed decision on what you believe in and what you publish whether that was with a 3rd assay or not.","If there is no third test available, I think you need to report the true results of the first two tests in the report. If you are more inclined to one of the first two test results, you can also explain this point of view in the report and argue your reasons. In addition, you can also explain why you think the other experimental result may not be ideal. But in any case, it is important to report all your experimental results truthfully. As for the right or wrong of its argument, these can allow readers or subsequent researchers to further ponder or experiment.","If a third method doesn't exist, we should report the contradiction and explore another way. Otherwise try to seek for special cases in the existing methods."
"This kind of thing always requires the leaving investigator to talk with the professor or PI. The PI may has been the source of some ideas, but it's the investigator that does all the things. If it cannot be peacefully determined. The university has the right to keep the research work that is under its supervision.","Whether the person has the rights to publish the idea that came out of the lab for themselves is heavily dependent on the lab and is often signed into contract before they even start working in the lab. In most labs, the research is owned by the university as they provide the materials and infrastructure, and, therefore, if one were to leave the lab, they should request permission from the lab to publish it themselves. That being said, if the person can oftentimes come to an agreement with the PI or the university and go from there.","I think researchers have the right to keep the ideas they have while working in the lab. But when it comes to data and publication, I think it is a more complicated situation and should be analyzed on a case-by-case basis. But it is important for researchers to maintain good communication with their previous labs and respect the lab's ideas and outputs while respecting their own research data.","Contributions should be considered. If it's hard to divide, they should communicate. One shouldn't take things away if those are not all his contributions."
"I think this is more down to everybody's conscience to maintain the integrity of the test result pictures to be correct and can be replicated. Photoshopping does help the investigators to show the main results more clearly if they are hard to spot, but there has been cases of faking images to get nice results for acceptance in journals or conferences. One should always provide their modifications in words to the original picture, otherwise it's unethical.","How much images get manipulated and how misleading the edited image will naturally affect the credibility of the journal. Modifying a picture is ethically grey; however, this happens so often within the internet today that it really isn¡¯t deemed as a horrible act or even unethical at this point. Journals risk their credibility by releasing synthetic stories as opposed to their ethics.","I think the key to this issue is not whether researchers should be able to identify over-processed research images, which is only a passive prevention. What is really important is to take the initiative to prevent researchers who publish research content from having the motivation to tamper with experimental results by beautifying images. If beautifying experimental images is just to make the conclusions that are already reflected in the images more obvious, then I don¡¯t think it is unethical; but if beautifying experimental images misleads readers, it is undoubtedly a tampering of experimental results. Of course, only allowing original images to be submitted to journals is an effective way to prevent the above phenomenon.","If it is just to standardize brightness, etc., and does not affect authenticity, then it should be allowed. If it is a forgery, etc., then it must be prohibited."
The lab B is unethical about their experiment results. Faking the experiment results is a very unethical behaviour. Lab B should cease the related research around the fake experiment and the fake results.,"From an ethical standpoint, falsifying data is obviously unethical. Putting aside the future of the labs or the careers of the people, if all we care about is ethics, Lab B should have never falsified data nor should Lab A allow them to get away with it. Lab A should try to recreate the experiment and replace Lab B¡¯s finding entirely. Of course, in the real world, people must balance their ethical views with their obligations. It is understandable why both labs did what they did, but, as mentioned before, ethical speaking, they are both in the wrong.","First of all, I think both approaches have their own considerations, but the problem is that even if they do not make these fraudulent data public, if they have previously published articles in very well-known journals using these data, then data fraud is easy to be discovered. And when data fraud is discovered in this case instead of Lab A taking the initiative to report, it will have a huge negative impact on the academic reputation of Lab A. On the contrary, if Lab A now takes the initiative to report, and was previously unaware of the data fraud in its partner lab, then Lab A actually has no academic integrity issues.","In cooperation, one is also responsible for the behavior of the partner."
"Paper writing has always been one part of the whole research, and the projects should let the investigators to do the writing. If the investigators are not doing reading, at least let someone that is good at english writing to be at least the leading author of the research.","A large part of doing research is writing and interpreting the results yourself. Consequently, the investigators should have written the papers themselves with the aid from someone else, rather than that someone else writing their entire paper for them. It does not make sense to be the first author on a paper if none of the words written on the paper is from that author even if they were a large part of the experiments. ","I think the postdoc's claim is reasonable. The paper is the main means of outputting arguments for the entire research, and its author should be the person who participates in most of the experimental design, data collection and interpretation. Because only in this way can one have a sufficient understanding of the experiment and output reasonable and accurate arguments.",It is understandable that such an arrangement would not be accepted. Effective communication is the best way to resolve these issues.
"I think it's fair for a teacher to encourage students to do the animal related things in a biology class, maybe it helps students to understand biology more and perform better in future biology learning in college. But the teacher's behaviour of forcing other students reluctant to do so is really bad and unethical. One teacher should never force the students to do this kind of things.","There are many cases similar to this one from a law standpoint rather than an ethical one. In law, each of these scenarios are dealt on a case by case basis, where it heavily depends on the situation for whether it's an unreasonable objection or not. If it impedes on ones freedom of religion, for instance, it could be ruled as unlawful. From an ethical standpoint, it again is case by case, but there is an extra layer of complication. For example, when it comes to a school course, the factor to consider is the expectation. If you are taking high school biology there is no expectation (at least not anymore) where you would have to dissect a frog; however, if you were to take a dissecting class in college, it would be nonsensical to make a conscientious objection about dissecting. Once the expectation is set, it is really up to the school whether they are able to accommodate the student or not.","I think both sides are wrong in this matter. First of all, from the students' perspective, dissection is indeed an irreplaceable project for some biology courses, and it is difficult to replace it with other homework projects. If students cannot accept dissection, then it is the students' responsibility to find out whether there is dissection homework before choosing this course. But from the teacher's perspective, his words were too intense, especially when he said ""morals have no place in my classroom."" This is undoubtedly a kind of disrespect for students.",I find it acceptable to refuse to do such experiments because of my own values. Teachers should respect the values and beliefs of their students.
"It's normal for beginners to struggle to inject chemicals to mice. Though it's sad to see so much mice sacrifising, it's still necessary to do so in order to be ethical to mice. The pros may have been experienced at doing this and finished the same with fewer loss to mice, but surely they also have one time when they also need to kill a lot of mice to get the injection working. And it's also not realistic for the students to always ask the surgical fellow to do the injection for them all the time.","The problem is not that mice are being used as test subjects, but the inexperience and lack of guidance from professionals that caused the unnecessary deaths. It it clear that they had this information and guidance available with the surgical fellow or another professor / PI. In addition, proper precautions and training on fake mice should have been implemented first in order to lessen the number of deaths. In other words, the first time students try to inject chemicals into a mouse should not be a real mouse. By the time they've gotten enough practice with fake mice, they would be far more experience and ready for a real one.","I think that for undergraduate medical students, the sacrifices brought about by this kind of practical experience are inevitable. Of course, the poster is not saying that mice should not be used to accumulate experience in clinical experiments, but that it is sad for the unnecessary sacrifice and suffering of animals. This is reasonable, and the way to reduce these harms is that before the actual hands-on operation, researchers can provide similar mouse models for inexperienced researchers to conduct more skill training and psychological preconditioning.","Priority should be given to the participation of trained individuals in such demanding experiments. In other words, alternative experiments should be prioritized if such sacrifices can be reduced."
"I think Dr. Z only wants a higher authorship for himself, and when he didn't make it, he just wanted to trouble you to continuously refine the paper. And Dr. N is also way to extreme for not having Dr. Z on the author list. With this kind of conflict going on, I would say that the paper not published is the best result. When you met this kind of problem, you should go for some university workers who can get contact with both professors, like a student advisor.","Authorship on a paper really should have nothing to do with personal relationships. As a result, both Dr. N and Dr. Z are ethically wrong. Since Dr. Z did contribute a substantial part of the paper, he should at least be an author even though his behavior is less than ideal. Of course, it is even more ridiculous that Dr. Z wanted to make himself the first author and not even add the student as the paper as well. It seems the student was caught between a sour relationship between Dr. N and Dr. Z. The only way out of this situation is to find a compromise between the three people.","I think both professors have certain ethical issues in assigning authorship to the paper. Dr. Z's problem is that the student has invested more than six months on the paper but he does not want the student to be the author; and Dr. N's problem is that due to his tense relationship with Professor Z, he does not want Dr. Z to be named on the paper, even though Dr. Z has made a considerable contribution to the paper. I think the root of this mess lies in the disagreement between Dr. N and Dr. Z. If these disagreements cannot be resolved, then the mess about this paper will be difficult to resolve.",This situation highlights the critical importance of establishing clear authorship agreements early in the research process. Miscommunication and conflicting expectations ultimately prevented valuable work from reaching publication.
"It's always vague when it comes to the author list, you only know the sequence of first second third author and etc., but you don't know how much they contribute to the project. It's clearly unethical for the PI to add people to the paper list who basically didn't do anything. Maybe PI just don't have other better ways to maintain the relationship between the clinicians and postdocs.","The shameless people asking for credit on the paper even though they didn't contribute are evidently ethically incorrect. You could also argue that the PI adding those two authors in the end is also in the wrong as well. The inherent problem is that the novel idea was made public to everyone, so everybody tried to get a piece of the pie putting pressure on the PI to accommodate unreasonable takes.","I think the problem described in the above situation is indeed unethical. One of the key points in this issue is that one of the people who claimed to be the author only provided common dye reagents, and such a contribution is indeed not enough to be considered as one of the authors. In addition, another key point is that the reason why the PI added these people as the final authors is that he did not want to destroy the relationship with the laboratory behind them, and this behavior of determining the authorship of the paper based on personal relationships is undoubtedly unethical.","Despite clear authorship guidelines, political considerations often lead to the inclusion of ""phantom"" authors, undermining the credibility of scientific publications."
"Dr. Jenkins is way too nice in this affair. Although it's normal for people not to be on the authorlist even they worked, in this problem, it's clear that sole author from you is way too much and adding Dr. Jenkins still make this paper a really strong proof of your personal ability.","It seems off that a person who actually contributed the paper doesn't want any credit, but, at the end of the day, it would be more unethical to force the other person to take credit. As a result, everything in this dilemma is ethically correct as the original poster can not force Dr. Jenkins to write his name on the paper and Dr. Jenkins has the right to refuse authorship.","There was nothing unethical about Dr. Jenkins's behavior. Dr. Jenkins did not ask for anything in exchange for the sole authorship, and Mary has a satisfying career in his lab. Moreover, Dr. Jenkins certainly has the right to refuse to be named as a sole author if his motives are justified.","I think there should be clear clarification and communication about the origin of this situation. In principle, there should be an honest division of authorship in order of merit."
"I think in this affair, Jim has the capability to determine the final authorship of the paper. Because he's responsible for all the beginning part of the paper. A relatively good ending should be you and Jim share first authorship since you made great contribution to the project.","Whether you become first author or not should be dependent on Jim, the current main author, rather than some third party. Since Jim was contacted and agreed he didn't want to work on the project anymore, it seems fine to take the first author as he gave up the responsibility of the paper when he moved away and neglected it. Alternatively, is it insane to suggests that both can be the main author on the paper? It seems like a rather fair compromise.","First of all, I want to say that there is no moral problem with the poster's choice, because it is a choice he made to stick to his own principles. But at the same time, it cannot be ignored that he did put a lot of effort into this paper, and the original first author said that he is not interested in the project now. So I think that perhaps asking the original first author for his opinion may also be a moral choice for the poster.","It is possible to change the author order, but I think it needs to be communicated to and recognized by the original first author."
"In this kind of situation, you should go for the university student advisors to address the problem, since it's unethical and you cannot handle the problem in the way you want and nor do your PI. Though it may break the relationship bbetween your lab and those researchers.","The original poster is very aware that the situation itself is very unethical and that, even though it is, he would still make the same decision again due to the cost of dissenting. Naturally, from an ethical standpoint, the ones shamelessly asking to add their name on the paper are in the wrong. The original poster is also in the wrong for adding the names; however, there is no such thing as a perfectly ethical life. In other words, from an ethical standpoint he is in the wrong, but from a logic standpoint, he is correct.","First of all, this is indeed an unethical thing to do. The main contradiction is that they do not understand the research content, which also violates the rule that paper authorship should not be assigned based on anything other than research contribution. But as the description of the problem says, even his supervisor is unable to solve this matter, let alone as a student. So I think the more reasonable and ethical solution is to continue to report it to researchers with higher positions in the laboratory and ask them for solutions.","One has no choice but to compromise when one is powerless to decide, but this phenomenon taints the integrity and purity of academia."
"It's strongly unethical for a vast majority of the researchers to oblige the authorship rule of the paper to add Dr. Wittgenstein as the author. But everybody is doing this, so this makes Dr. Cooper difficult to disclose everything, and Dr. Cooper is just a professor who is still on his tenure track and may get sacked due to not having enough publications. Maybe it's better to go with the flow first and then after tenure track finished to slowly get rid of this kind of behaviour.","In terms of ethics, Dr. Cooper is in the right as all he did was follow the rules. However, one can not be perfectly ethical at all times and one often (maybe even should) pick the less ethical option if the ethical way comes with too much cost. In this case, Dr. Cooper¡¯s tenure is at stake so it would be logically understandable to write the other guy's name on his paper even if it was against the rules.","Although every researcher will list the person who provided the reagents as the author out of courtesy, it is unethical for Dr. Wittgenstein to force Dr. Copper to add his name to the paper, and he should not retaliate by not providing reagents. But then again, Dr. Copper's laboratory has suffered huge losses because of this behavior, and according to the description of the problem, the reagents provided by Dr. Wittgenstein are also quite valuable, so for Dr. Copper, perhaps trying to find some balance between morality and reality is the best solution.","Dr. Cooper¡¯s experience highlights the unfortunate reality that strict adherence to ethical authorship standards can sometimes disadvantage individuals in a system that informally rewards unethical reciprocity. Without stronger community enforcement, those who prioritize integrity are often penalized, while those who exploit the system thrive."
"The statistician should have that much capability to do the whole thing from the beginning. If he wanted to do so, he should also remind to talk with the students and PI about the author issue and claim his work instead of just rewrite everything without everybody's notice and claim that he had done tons of work.","This situation is filled with unethical behavior starting from the fact that the statistician rewrote the paper without the main author¡¯s opinion! It¡¯s even more ludicrous that the professor becomes the first author after the fact that the statistician rewrote the paper! To answer the questions, if the author were to rewrite the paper with significant enhancements and with the knowledge of the primary author, you could make the case for said author to become the main author. In this scenario, however, neither of those things happened. As a graduate student, the only thing you can do is to find a better professor, which, of course, is easier said than done.","This is indeed unethical. The point here is that the statistician's suggestions are all easily adopted, so the contribution of rewriting a paper with other people's data should be far less than data collection and analysis. In addition, it is worth noting that the poster and the professor and other researchers in the laboratory have already reached an agreement on the order of authors, and this behavior of overturning the previous agreement without prior notice should not be accepted just because the professor has greater power in the laboratory.","Rewriting a manuscript without contributing to the underlying research does not ethically justify claiming first authorship. This situation reflects an abuse of power dynamics, where initial authorship agreements are disregarded at the expense of more vulnerable junior researchers."
"I think you can still use this donors samples, as long as the donor has capable health conditions that meets your research's needs. I think it's ethical to continuie to use as long as you don't disclose the donor's identity, after all, I don't think every paper disclose their testers' personal information.","As long as you think the identity would not skew the results, there shouldn¡¯t be any reason not to use the data, unless the patient, who should be notified that their identity was leaked, is against it. A breach of confidentiality is a big deal not for the people in the lab, but for the person who got their information leaked. Consequently, the PI should notify the patient of such a breach and go from their decision.","First of all, I think the key to the problem is that the laboratory should inform the donor of the current situation, that is, a small number of researchers already know the identity of the donor. After the truth is told, if the donor agrees that the researchers continue to use the sample, then it is not unethical to use the sample without revealing the donor's sample and identity in the paper.",I don't think it's inappropriate to continue to use this celebrity's cells; it's not unethical.
"I think you can still use this donors samples, as long as the donor has capable health conditions that meets your research's needs. I think it's ethical to continuie to use as long as you don't disclose the donor's identity, after all, I don't think every paper disclose their testers' personal information.",,,I don't think it's inappropriate to continue to use this celebrity's cells; it's not unethical.
,,,"You can't fool around with research, and patience is a crucial part of the equation. You have to make your conclusions convincing."
"I understand the fact that you want the recommendation letter from the professor, but I think you still cannot do such kind of things. First, reporting this kind of things to the professor already gives him a bad impression, which may affect the quality of the recommendation letter you expected. Second, this is an unethical thing to do and it's not contributing to the academic environment.","From the original poster¡¯s perspective, he was already aware that the scenario is ethical, but still it was logically sound to go with it anyway assuming his ad-hoc research wasn¡¯t totally nonsense. However, a large part of research is repeatability. After the graduate thesis is done, the lab should continue to further recreate the findings and actually determine if the correlation between them is real or not.","I think this situation is more due to the requirements of the school or the outside world on Dr. Allen or the laboratories. The most direct evidence is that Dr. Allen said that his laboratory would not issue a report without statistically significant findings. Perhaps it is the high requirements of the outside world for his laboratory that led Dr. Allen to demand such output from his laboratory. So I think that in addition to adding the practical significance of reviewing the reports of each laboratory, the solution to this problem may also lie in reducing the rigid quantity requirements of the outside world on each laboratory to ensure the practical significance of the research.","You should tell your mentor what you think. But in this case, I think most people would compromise."
Ethical data deletion requires the statisticians to explain what points do they deleted and why do they delete the things. Unethical data deletion is result centric and delibrate.,"It is ethical to delete data when you believe the data collected is due to some factor that has nothing to do with the underlying distribution. For example, if the machinery simply broke for a few data points or data points that don¡¯t make sense logically (like a negative age), those points should be removed as they are misrepresentative of what the data is. However, it is unethical to delete a few data points just to make your correlation look better.","I think the most critical distinction here is whether the scatter plot displayed by deletion or not changes the original conclusion of the experiment. In addition, no matter how the researchers modify the scatter plot, they should reflect this in their paper and clearly explain the reasons and their impact. Only in this way can it be done without violating ethical standards.","Deleting data points can be ethically acceptable when done according to predefined, transparent criteria that are scientifically justified. However, selectively removing data to produce cleaner or more favorable results constitutes a serious breach of research integrity."
"I think Jack should suggest Jill to work with him from the start. Even acknowledgement at the end of the paper is also not enough for Jill's contribution. Maybe adding Jill as the author, if agreed by Jill, was a way to make up jill's loss.","The idea itself is a large part of a research paper and should not be taken without permission from the original author.  Another factor to consider is that Jill¡¯s work seemed to already have substantial progress; it¡¯s not some loose ideas that haven¡¯t been applied yet.Consequently, Jack should for sure have included Jill as an author for the final paper. In fact, more than that, Jack should have kept Jill in the loop of his project as he seems to be straight up stealing.","Perhaps we can say that Jack did not steal Jill's work, but Jack's behavior is undoubtedly unethical. I think Jack should have suggested Jill to collaborate with him at the beginning, and the remedy for now is to list Jill as a co-author or add her to the acknowledgments according to Jill's wishes.","Jack shouldn't do this without informing Jill. Also, Jill's contributions should be included in related papers. Jack violated Jill's right of ideas."
"I think this type of experiment need to ask the local's permissions. Maybe measles still means something to the testers and they wanted to get rid of the disease with any attempt. Also, it ethical to test on local testers if you are aiming to help the locals, on the basis of permission.","Since the scientist hasn¡¯t even started his experiments, there is obviously nothing unethical going around. However, if he were to commit to this plan, he must abide by India¡¯s laws rather than the U.S., get explicit consent from all the patients, and have enough safety precautions that there is no risk.","As with all issues involving requesting subjects to participate in clinical trials, the key to this issue is to truthfully inform potential subjects of the significance and risks of participating in clinical trials and respect their wishes. I believe that if the above can be achieved, then the research is ethical.",Subjects' interests should be assured and they need to be informed of the potential risks.
